city,age,sex,family_size,work_hours,avg_sleep_hours,screen_time_hours,tea_cups,coffee_cups,late_snack,spice_intake,religious_freq,festival_freq,physical_activity_min,bedtime_variability,stress_level,city_noise_dB,light_pollution_index,temperature_night,humidity_night,air_quality_index,screen_brightness_behavior,sleep_quality_score
Thane,22.2,Male,3,8.4,8.85,1.76,3,1,0,4,1,0,79.1,0.9,3.82,57.99,55.96,35.0,41.78,87.8,0.64,74.17
Kolkata,25.6,Male,4,11.6,6.29,1.76,2,1,0,3,3,2,33.1,1.07,6.37,66.96,63.7,24.74,40.95,78.9,0.67,45.55
Moradabad,27.3,Male,4,6.2,6.68,1.62,0,0,0,3,1,2,30.4,1.27,10.0,52.73,45.84,19.47,65.67,59.5,0.85,46.65
Aurangabad,46.1,Male,6,8.9,5.98,2.12,1,1,1,4,5,2,49.0,1.96,8.82,54.78,64.99,17.88,69.02,105.5,0.65,55.51
Hyderabad,39.5,Male,3,10.4,7.05,2.41,3,3,1,5,1,3,34.0,0.72,1.97,67.97,64.36,25.5,67.23,139.6,0.74,51.98
Howrah,39.3,Male,4,9.9,7.25,0.76,2,1,0,4,5,1,51.2,0.37,4.41,56.21,71.41,18.66,56.07,31.2,0.07,73.16
Dhanbad,33.7,Male,4,7.8,6.08,1.09,2,1,1,3,2,1,36.6,0.94,5.3,48.68,75.11,17.59,78.61,75.2,0.2,61.3
Surat,18.8,Male,4,8.7,6.88,3.44,1,0,1,3,2,1,67.5,1.22,4.55,87.07,73.23,23.74,54.23,166.8,0.79,51.29
Bengaluru,29.6,Male,3,12.3,6.75,5.07,0,2,1,3,3,1,10.8,2.78,3.46,66.11,68.88,18.38,40.55,190.3,0.72,47.45
Howrah,39.7,Female,5,9.0,4.44,2.27,4,0,0,4,0,1,18.5,1.44,3.36,56.88,38.52,16.99,52.7,55.2,0.51,52.44
Agra,17.4,Female,6,9.2,7.16,2.97,1,0,0,3,5,0,35.6,1.12,6.34,56.55,43.79,35.0,60.47,57.7,0.12,44.8
Kochi,36.4,Female,4,7.9,7.25,2.32,2,2,0,5,3,1,40.5,0.26,4.41,45.46,76.28,28.01,49.54,134.1,0.65,56.67
Agra,53.2,Male,3,7.6,7.17,2.63,3,0,0,4,4,3,65.9,0.45,6.16,46.18,35.58,32.34,69.41,67.4,0.96,60.8
Bhubaneswar,40.6,Female,6,8.1,6.73,2.67,5,0,0,4,6,2,32.5,0.76,2.67,52.0,30.71,31.39,62.1,81.7,0.55,58.75
Meerut,44.1,Male,6,10.8,6.46,2.61,3,0,1,2,4,2,31.3,1.36,4.23,69.21,31.53,27.88,51.55,40.7,0.86,54.63
Kalyan-Dombivli,32.2,Male,4,8.1,4.43,2.32,2,0,0,4,5,3,47.1,1.79,6.78,69.21,33.0,30.24,46.75,61.1,0.47,46.79
Pondicherry,39.7,Female,6,8.6,5.72,2.13,3,1,1,2,1,1,52.4,1.83,6.99,43.16,57.24,20.79,61.73,69.2,0.63,40.48
Lucknow,22.8,Female,5,11.4,7.09,1.63,1,0,1,4,4,3,45.1,1.36,4.06,65.31,47.67,24.71,82.59,12.0,0.3,62.48
Kolkata,38.0,Female,3,13.2,5.54,3.03,1,1,1,3,5,0,49.1,1.74,6.72,70.27,58.19,17.91,38.78,131.3,0.29,46.45
Delhi,36.5,Female,3,7.8,5.57,2.81,0,2,0,3,2,3,49.2,1.77,5.74,78.16,69.65,35.0,60.91,116.6,0.83,38.97
Dehradun,32.9,Male,5,5.8,8.05,1.18,2,0,1,1,5,2,35.8,2.03,3.34,44.39,32.84,29.68,45.84,125.6,0.62,70.22
Amritsar,43.2,Female,4,7.9,5.63,3.07,3,0,0,2,2,4,24.7,0.69,6.24,63.62,45.97,21.73,60.69,90.9,0.44,45.41
Jodhpur,24.6,Female,4,7.5,5.71,2.89,1,0,0,3,5,2,13.6,1.99,5.69,64.26,74.24,30.43,63.27,94.0,0.46,57.2
Hyderabad,28.1,Female,1,10.7,7.44,3.19,0,1,1,3,1,0,18.4,1.29,5.64,79.49,56.68,21.85,58.59,189.1,0.39,47.82
Kolkata,31.0,Female,4,10.0,6.33,3.68,3,2,0,1,0,1,56.3,1.02,5.33,65.6,44.64,14.06,45.28,170.4,0.53,43.93
Delhi,19.7,Male,2,9.8,7.27,3.23,3,1,0,5,0,1,77.0,0.9,5.12,80.55,74.11,29.53,72.94,201.5,0.36,54.89
Surat,32.3,Male,2,11.3,6.61,2.06,1,0,0,3,1,1,32.3,1.25,3.09,74.64,65.7,28.29,45.0,97.8,0.65,56.06
Varanasi,16.0,Male,4,5.8,8.11,0.37,1,0,0,4,3,2,40.3,1.42,5.91,61.19,40.55,24.71,84.98,22.3,0.64,49.44
Jaipur,40.5,Male,4,9.1,5.98,0.65,1,1,0,4,3,2,35.4,2.05,3.01,67.68,71.61,26.64,19.31,168.1,0.71,59.86
Thane,30.5,Male,4,8.8,6.77,4.26,4,0,1,4,4,3,46.4,0.97,5.06,50.45,62.26,32.85,21.73,97.7,0.9,53.96
Rajahmundry,24.8,Male,5,10.5,6.25,1.97,2,1,1,2,1,0,4.5,2.32,3.02,42.06,35.36,27.15,63.8,80.8,0.35,61.12
Surat,21.7,Female,1,9.9,5.44,2.13,3,1,0,5,3,2,32.3,0.0,6.18,60.99,62.21,22.76,45.1,63.8,0.27,56.05
Ludhiana,27.7,Female,3,9.6,7.18,1.41,2,0,1,3,4,2,30.6,0.32,7.28,52.08,74.51,25.1,46.12,75.3,0.44,55.41
Mangalore,36.9,Female,5,8.5,5.23,2.06,1,0,1,5,6,2,5.7,1.49,4.1,57.99,53.05,28.76,74.5,68.2,0.6,55.45
Jaipur,35.5,Male,2,9.9,4.45,3.41,2,2,0,2,1,3,38.2,2.15,8.87,60.97,74.58,23.81,42.83,151.9,0.9,37.73
Amritsar,22.9,Male,6,8.6,6.8,1.27,3,0,0,5,3,2,57.2,2.45,7.57,63.74,59.07,28.51,61.58,152.8,0.45,43.51
Tirupati,21.5,Female,5,8.7,6.94,2.09,4,0,1,3,3,1,41.4,1.47,5.62,49.66,55.13,28.21,68.58,34.7,0.73,55.94
Bharatpur,36.6,Male,5,9.1,7.07,4.39,2,0,0,3,2,1,59.0,1.42,5.05,69.61,61.51,28.0,83.42,63.6,0.32,51.11
Kolkata,22.8,Female,1,12.2,6.36,4.31,2,1,1,3,1,3,31.4,1.72,5.24,73.56,58.66,21.9,45.41,172.6,0.37,52.03
Jamshedpur,30.6,Female,5,9.6,5.96,0.0,2,1,1,5,1,1,21.9,1.01,6.83,59.18,28.64,17.15,66.54,73.4,0.46,64.66
Patna,31.2,Male,4,8.7,8.19,0.37,3,2,0,3,5,1,17.7,0.56,5.79,60.79,67.14,20.89,65.97,62.5,0.12,53.45
Pune,33.1,Female,2,10.8,5.0,4.81,6,2,0,3,1,2,55.1,0.7,6.21,70.33,84.71,22.9,77.81,116.0,0.67,46.53
Bhopal,38.6,Male,4,9.3,8.25,2.81,4,0,1,4,6,1,67.8,2.42,5.88,64.3,48.03,20.82,48.84,50.1,0.45,66.18
Guntur,17.4,Female,3,9.9,6.21,2.05,3,0,0,4,3,2,11.4,0.0,6.29,50.46,39.17,24.19,62.0,34.0,0.41,53.53
Patna,16.0,Male,4,8.4,5.74,2.48,1,1,1,3,1,2,70.5,1.12,6.31,54.96,62.62,20.44,52.23,10.0,0.25,48.11
Surat,24.3,Male,2,10.7,4.76,2.18,0,2,0,5,7,2,57.4,0.75,2.73,89.42,76.67,21.53,55.09,172.4,0.77,57.78
Navi Mumbai,48.0,Female,2,9.8,5.39,2.33,5,0,1,4,1,3,75.4,2.05,5.66,46.08,28.58,25.34,77.32,69.6,0.1,59.4
Pune,50.2,Female,2,7.9,6.32,3.73,3,0,1,1,7,3,69.4,2.07,3.71,75.58,79.93,13.65,57.88,85.0,0.84,58.05
Mumbai,48.3,Female,2,9.4,7.53,2.9,1,3,1,4,3,3,5.1,0.91,4.64,78.27,95.46,19.23,83.06,109.0,0.91,43.68
Kolkata,28.1,Male,3,9.7,10.0,3.36,2,1,0,3,2,0,54.1,1.84,3.04,65.84,57.67,23.43,61.24,166.1,0.58,49.82
Kolkata,16.0,Female,4,9.5,7.73,1.95,1,0,0,3,3,2,22.9,0.94,3.82,70.29,63.19,25.97,30.53,122.9,0.16,58.02
Kolkata,16.0,Female,2,8.5,7.62,3.21,3,1,1,2,5,2,48.6,1.17,4.1,65.74,40.41,19.7,49.37,198.6,0.3,52.57
Kolkata,23.9,Female,2,6.3,6.16,2.81,3,1,0,2,1,0,47.4,1.45,2.59,62.45,64.49,22.97,43.8,114.1,0.47,58.91
Navi Mumbai,28.0,Female,4,10.5,7.38,1.67,4,0,0,2,0,2,52.9,1.28,2.48,45.02,48.96,27.65,79.15,79.3,0.92,47.97
Chennai,43.0,Female,2,6.8,6.54,3.97,4,0,0,3,2,4,40.6,2.05,4.05,78.12,64.06,15.06,54.92,183.3,0.9,58.38
Surat,38.7,Female,3,13.0,7.38,1.09,0,0,1,3,3,2,32.2,0.83,6.37,69.87,68.35,20.78,47.77,112.9,0.32,48.65
Aligarh,32.3,Female,5,8.6,5.89,3.2,4,0,0,4,3,1,69.8,0.23,4.22,62.03,38.99,17.31,64.19,77.6,0.13,55.43
Pimpri-Chinchwad,21.1,Male,4,8.0,7.79,2.41,4,2,1,3,1,1,28.6,1.95,5.11,57.7,58.29,26.13,65.7,110.3,0.7,58.03
Howrah,20.4,Male,4,6.7,8.6,2.58,1,0,0,3,2,3,54.8,1.31,5.82,62.9,48.82,20.77,52.33,82.1,0.49,48.11
Chennai,32.5,Female,2,7.5,8.46,2.01,0,1,0,5,4,0,23.3,2.05,4.35,69.55,59.64,16.44,70.1,94.5,0.41,47.23
Chennai,37.0,Female,3,8.7,7.06,2.13,3,1,0,3,0,2,17.7,2.32,7.11,79.06,63.34,20.89,57.28,119.5,0.93,42.64
Mumbai,33.9,Female,2,10.3,7.3,3.0,1,1,0,4,1,1,26.2,0.55,3.36,81.47,87.84,22.65,75.31,136.1,0.66,56.91
Chennai,19.7,Male,3,12.1,6.03,1.21,1,3,1,4,5,3,14.6,2.43,3.52,85.85,65.41,17.56,66.72,126.2,0.62,55.9
Pune,36.5,Male,2,7.7,7.74,3.58,2,4,0,3,2,3,9.7,0.69,3.57,70.35,84.24,19.51,81.07,107.9,0.53,51.46
Chennai,34.3,Male,3,10.5,5.89,2.14,1,0,1,5,2,2,54.1,2.13,6.92,78.75,81.68,19.39,71.45,174.7,0.63,37.36
Bengaluru,19.3,Male,3,7.2,6.05,0.88,4,0,1,4,1,0,55.1,2.58,1.56,72.13,54.61,16.72,44.56,147.0,0.79,51.23
Kolkata,22.2,Male,2,8.6,6.74,4.39,0,3,0,4,3,1,70.9,1.94,5.29,72.35,55.58,23.34,47.79,128.5,0.87,42.11
Visakhapatnam,36.9,Female,3,9.8,7.02,2.24,3,0,1,2,3,1,33.5,0.83,3.69,55.11,57.34,21.14,55.01,121.1,0.55,54.86
Hyderabad,27.7,Male,2,8.5,6.32,3.33,1,2,1,4,1,2,77.7,1.18,5.12,64.43,64.11,20.74,57.82,130.2,0.82,50.4
Jaipur,45.9,Female,3,12.3,5.63,1.81,3,0,1,3,3,3,35.9,0.61,6.32,70.72,67.58,26.76,53.52,196.4,0.21,52.1
Vadodara,35.0,Male,4,10.1,5.34,2.3,1,0,1,3,0,3,52.3,1.46,9.07,43.03,65.3,25.61,58.09,111.7,0.21,34.02
Guwahati,25.1,Other,5,9.7,7.16,2.66,0,0,0,4,3,1,48.8,1.61,2.87,50.4,42.44,31.37,60.31,82.9,0.28,53.83
Delhi,29.9,Female,4,9.2,5.83,1.05,0,0,0,3,3,1,81.6,3.14,2.85,75.24,75.82,25.66,73.58,98.8,0.45,56.36
Panaji,30.6,Male,5,7.7,7.25,2.54,7,0,0,3,1,3,39.3,0.26,6.2,50.43,59.26,21.39,94.42,17.3,0.39,60.31
Amritsar,22.7,Other,6,8.3,7.01,1.05,1,1,1,4,5,2,55.8,2.72,4.3,57.6,71.04,20.25,64.39,101.8,0.79,57.22
Bengaluru,20.9,Female,1,10.4,6.9,1.71,1,3,0,5,3,1,32.3,1.11,4.26,69.53,70.56,15.84,50.13,92.1,0.64,58.76
Pondicherry,37.0,Male,4,9.4,7.21,1.21,3,0,0,4,2,2,20.5,2.18,8.27,62.03,57.46,30.02,59.96,89.0,0.03,51.93
Jamshedpur,38.5,Female,4,7.8,6.06,3.89,4,1,0,3,5,2,52.0,0.78,4.83,59.71,14.72,21.95,64.28,10.0,0.7,50.71
Mumbai,36.0,Male,2,8.9,7.86,3.78,1,2,0,4,3,3,46.2,0.34,1.98,64.44,80.24,17.29,59.7,136.5,0.25,64.58
Pune,45.2,Female,2,7.7,7.21,2.98,0,0,1,4,2,1,30.5,2.54,3.32,57.66,98.3,22.77,100.0,150.8,0.74,64.26
Siliguri,24.6,Female,5,12.4,6.99,3.53,1,1,1,5,1,4,46.0,1.4,8.53,55.37,35.16,25.95,53.49,85.4,0.33,41.13
Agartala,46.7,Female,5,7.7,8.55,1.17,4,0,0,3,2,3,0.0,1.2,4.62,66.71,22.74,23.43,80.13,59.0,0.71,54.25
Chennai,21.0,Male,3,7.5,5.25,1.47,2,1,0,3,1,1,54.3,1.43,5.9,81.25,70.04,23.95,54.55,96.4,0.33,59.45
Hyderabad,19.9,Male,3,6.3,6.99,2.08,4,1,1,3,0,4,46.0,0.0,6.17,76.58,71.66,27.34,61.37,129.1,0.64,56.55
Jaipur,16.0,Male,2,9.0,8.53,4.38,1,0,0,3,1,3,25.8,0.57,2.95,65.13,73.22,21.34,50.25,194.1,0.29,64.72
Pimpri-Chinchwad,25.5,Male,4,9.6,7.15,2.78,2,0,0,3,1,2,78.8,0.72,4.05,51.53,62.44,19.87,75.17,61.5,0.52,55.16
Dhanbad,25.0,Male,3,8.8,6.34,1.27,3,0,1,1,2,2,33.8,1.44,4.75,43.4,39.15,24.8,86.21,149.3,0.41,58.82
Jaipur,35.3,Female,4,9.7,6.29,1.81,2,5,0,5,1,3,73.9,2.25,5.55,67.33,70.22,25.55,43.48,163.4,0.94,43.4
Visakhapatnam,32.4,Female,5,10.1,6.32,2.25,3,1,0,4,1,1,85.9,1.32,4.75,57.68,55.47,20.85,52.22,160.7,0.64,52.89
Agartala,18.1,Female,3,9.9,5.74,0.98,1,2,0,3,1,1,54.0,1.61,5.84,60.66,20.12,19.99,76.66,19.0,0.31,51.47
Delhi,26.1,Male,4,8.7,6.36,2.32,4,0,1,3,0,1,31.3,1.3,2.46,74.59,71.74,35.0,53.28,127.9,0.41,53.23
Pune,26.3,Male,2,10.4,6.91,2.01,4,1,1,3,3,3,50.5,1.72,7.43,67.25,84.05,21.86,86.9,158.2,0.4,55.06
Raipur,16.0,Male,5,9.1,8.88,1.94,1,1,0,5,4,1,17.3,1.74,2.23,53.02,38.2,18.44,81.15,114.0,0.59,60.46
Haridwar,20.2,Male,4,8.1,7.11,2.73,3,2,1,5,1,0,43.3,1.03,4.45,51.65,69.8,28.85,86.95,107.0,0.33,58.79
Ghaziabad,22.3,Male,4,11.1,3.92,3.57,0,1,0,3,2,1,47.6,1.88,7.49,50.18,36.04,17.04,75.7,72.9,0.63,39.03
Nashik,44.3,Male,5,7.8,7.08,0.59,3,1,0,2,1,3,9.9,0.48,9.29,57.44,48.7,29.79,63.39,48.8,0.07,49.18
Bengaluru,31.9,Female,2,9.1,8.58,3.6,1,0,0,5,2,2,61.4,0.52,1.0,63.81,59.03,15.91,35.59,101.7,0.39,58.02
Thane,36.6,Female,3,8.3,7.4,3.68,1,3,1,3,6,1,25.9,1.3,1.0,67.93,71.68,24.75,32.99,175.5,0.53,53.59
Nashik,16.0,Male,5,10.4,7.13,1.79,2,0,0,1,1,0,38.8,0.0,6.93,58.59,53.24,27.2,61.14,77.1,0.26,47.86
Pune,41.9,Female,1,11.6,4.61,2.41,1,0,1,3,0,2,61.1,0.79,6.96,65.93,83.5,23.89,76.37,149.0,0.67,32.83
Pune,43.0,Male,2,12.0,4.22,2.41,1,0,1,4,1,2,56.5,1.76,5.35,68.32,90.15,17.58,57.98,131.7,0.5,50.14
Jaipur,16.0,Female,1,11.2,8.65,0.65,2,2,1,4,4,3,0.0,1.87,2.03,70.27,53.67,28.79,57.68,192.7,0.74,67.95
Delhi,22.9,Male,3,9.9,6.69,3.28,3,0,0,2,0,1,52.3,0.51,4.75,70.78,82.42,27.92,64.3,183.8,0.36,62.85
Surat,35.0,Male,4,11.4,5.98,1.74,1,0,1,4,1,2,23.6,1.24,5.46,69.89,57.33,22.69,47.91,140.6,0.45,46.06
Hyderabad,36.4,Male,2,10.6,6.37,1.33,0,0,0,4,2,1,54.8,0.89,7.35,89.38,52.55,22.86,61.56,132.0,0.58,43.01
Surat,23.2,Male,2,9.8,6.47,2.82,3,1,0,2,1,2,48.1,1.09,1.0,81.01,82.41,20.03,51.67,94.4,0.63,63.96
Bengaluru,26.9,Female,2,9.3,6.49,3.31,2,6,0,4,3,1,39.3,0.93,4.41,69.87,61.87,18.45,37.34,127.2,0.52,34.85
Haridwar,24.0,Other,2,8.7,7.23,2.76,2,2,0,4,2,3,18.2,1.45,6.75,55.43,69.86,28.13,64.33,92.1,0.36,52.34
Varanasi,31.1,Female,3,8.3,6.92,3.64,4,1,1,3,3,2,60.1,0.25,2.65,59.23,26.78,26.6,80.45,65.5,0.77,40.5
Coimbatore,42.0,Male,6,9.6,8.44,2.04,2,0,0,4,6,1,49.7,1.56,4.77,52.17,51.42,22.65,76.03,96.2,0.35,64.64
Vijayawada,22.3,Female,5,8.7,8.92,1.73,1,0,1,4,2,1,36.0,0.63,1.19,49.52,62.49,20.38,57.18,10.0,0.63,69.59
Vadodara,40.0,Female,2,9.7,7.26,1.65,2,0,0,4,4,1,9.3,0.74,3.72,38.88,39.85,24.56,77.42,75.3,0.42,74.73
Bengaluru,22.2,Female,3,10.8,6.94,2.71,0,2,1,4,0,1,35.5,1.58,3.88,68.03,68.47,15.21,44.71,104.9,0.52,51.45
Faridabad,21.5,Female,3,9.0,5.94,1.34,3,0,1,3,3,1,74.2,0.2,5.45,66.03,35.69,20.36,64.0,80.6,0.33,62.9
Vasai-Virar,38.2,Female,4,8.3,6.13,1.61,4,0,0,4,1,1,47.0,2.25,7.68,62.0,55.79,29.97,54.7,27.3,0.32,55.6
Agartala,39.2,Female,6,7.6,6.77,1.35,4,0,1,4,3,1,3.2,1.83,3.86,55.64,30.29,19.91,67.35,112.7,0.42,61.73
Indore,38.5,Female,5,8.8,6.96,1.07,3,0,1,3,2,3,39.3,1.57,6.84,72.14,37.21,18.7,56.16,63.8,0.04,56.85
Kolkata,16.8,Male,3,10.4,8.87,4.24,1,0,1,2,1,0,68.0,1.54,3.03,72.93,58.36,23.64,55.75,121.7,0.18,59.32
Ahmedabad,25.3,Male,3,8.0,6.67,3.89,4,4,0,3,0,1,58.8,0.11,8.99,61.81,67.19,24.13,57.11,45.4,0.85,41.8
Jaipur,38.2,Female,2,7.3,6.26,0.64,1,4,0,4,0,2,8.9,0.13,4.36,71.62,72.64,23.59,37.83,193.3,0.56,44.23
Navi Mumbai,30.4,Female,3,8.8,6.06,3.32,1,0,0,4,5,2,49.5,2.0,4.84,51.55,33.63,29.03,59.85,31.2,0.58,45.65
Vasai-Virar,19.3,Male,4,7.7,8.23,1.94,4,0,0,3,4,1,69.8,0.05,6.39,57.34,63.54,24.0,68.3,51.6,0.5,49.76
Surat,34.6,Female,2,11.5,5.82,2.64,1,0,0,1,3,3,25.7,1.74,5.85,67.86,66.72,22.41,55.17,120.8,0.12,59.69
Thrissur,22.9,Male,2,11.0,6.08,0.69,2,0,0,3,4,1,44.3,1.9,5.72,58.81,61.9,29.13,58.83,114.1,0.58,52.24
Aurangabad,47.9,Male,4,7.5,5.68,0.34,7,0,0,3,3,3,50.2,1.17,2.73,57.33,71.92,22.51,56.19,72.8,0.68,64.18
Hyderabad,45.4,Male,3,7.4,6.13,2.94,3,1,1,4,1,2,17.4,2.79,4.1,68.56,78.8,26.15,69.39,138.8,0.69,44.37
Bengaluru,36.0,Female,2,10.9,7.65,2.63,2,1,1,3,2,1,22.6,1.62,4.31,77.72,71.99,15.97,55.63,134.4,0.2,54.74
Kolkata,43.6,Male,4,10.3,7.15,1.95,4,1,0,2,2,2,0.0,0.94,2.4,68.11,57.24,24.57,46.63,102.3,0.74,53.95
Pune,30.6,Male,3,10.6,5.25,2.79,1,2,1,3,3,3,45.1,0.57,5.89,63.5,87.62,23.16,83.7,156.8,0.82,42.19
Chennai,37.7,Male,3,11.2,7.28,3.1,1,0,0,3,3,3,41.2,0.73,6.74,73.7,59.3,17.01,54.94,157.3,0.49,48.72
Chennai,44.8,Female,4,9.4,9.26,3.38,1,0,1,3,3,2,39.0,0.26,1.0,85.45,77.94,18.19,50.41,142.2,0.15,62.99
Ahmedabad,32.5,Female,3,9.7,5.69,1.52,1,0,0,5,4,1,2.4,1.13,5.37,59.69,69.8,22.58,69.7,49.9,0.49,61.73
Chennai,27.4,Male,3,11.2,6.72,1.61,0,0,1,3,6,3,22.0,1.18,3.27,69.44,61.21,14.99,57.15,125.3,0.96,64.45
Aligarh,16.0,Female,4,9.7,6.77,2.14,1,0,1,3,5,3,50.1,0.94,8.28,57.41,35.38,19.36,79.19,45.0,0.62,45.77
Bengaluru,29.2,Female,2,13.1,7.42,4.22,1,2,0,3,0,0,35.0,0.32,5.82,64.68,71.33,19.27,47.03,112.4,0.59,49.15
Agra,38.2,Male,4,9.4,6.03,1.81,3,0,1,5,2,0,19.8,0.21,5.86,38.14,44.02,35.0,65.11,82.1,0.46,51.32
Kanpur,39.5,Female,5,9.4,5.88,2.13,3,0,0,2,0,2,11.5,0.12,1.0,62.78,28.69,24.44,88.99,26.9,0.61,59.36
Guntur,35.0,Male,4,10.3,5.95,0.77,1,1,1,4,5,2,5.3,1.47,2.64,39.68,38.24,16.33,57.55,13.9,0.43,66.46
Bengaluru,24.6,Male,2,13.1,7.1,0.8,2,2,0,2,3,2,20.8,1.09,3.01,73.97,59.54,16.91,50.33,118.1,0.72,58.43
Jaipur,16.0,Female,4,11.1,5.34,4.81,1,1,1,3,3,2,50.5,1.31,5.7,60.51,69.06,28.15,29.0,164.0,0.63,33.21
Nanded,25.0,Female,5,8.6,9.3,2.25,1,0,0,3,4,2,43.9,1.24,3.36,44.26,65.47,31.74,66.08,97.6,0.73,69.11
Tiruchirappalli,27.0,Male,4,8.0,5.61,1.08,2,0,1,4,1,3,46.8,0.55,5.27,58.94,60.8,33.32,77.88,89.3,0.24,54.58
Imphal,26.9,Male,6,9.2,7.19,0.07,2,0,0,2,1,1,0.0,0.57,3.98,61.53,48.29,19.84,96.18,126.7,0.26,55.47
Pune,36.2,Female,4,8.4,7.59,4.45,2,0,0,2,2,0,34.8,0.81,1.07,63.85,93.0,20.59,75.98,89.3,0.22,56.84
Chennai,49.9,Female,2,11.0,5.73,1.56,0,1,0,2,0,2,43.6,1.4,5.15,73.63,75.35,14.97,60.94,168.9,0.53,44.99
Howrah,31.2,Male,5,9.4,8.32,1.15,2,0,0,5,2,2,64.3,0.6,2.96,52.25,51.69,21.43,41.02,63.5,0.93,55.5
Udaipur,27.8,Female,6,9.8,6.2,1.35,3,0,0,2,3,1,23.6,0.3,3.05,61.1,55.89,19.02,69.69,91.0,0.45,64.72
Rajkot,27.4,Male,6,6.3,6.57,2.12,1,0,0,2,4,2,17.7,1.42,1.81,40.58,37.02,29.8,50.64,11.5,0.61,51.77
Vasai-Virar,31.2,Male,6,11.0,5.82,2.57,2,0,1,3,1,3,74.0,3.01,4.76,55.69,56.95,25.56,65.44,44.6,0.69,48.21
Pune,21.7,Female,4,8.3,7.26,2.7,1,1,1,4,3,2,50.6,1.35,2.55,59.75,85.89,14.03,65.96,90.3,0.38,60.34
Kochi,31.2,Female,6,7.1,7.43,1.06,1,0,0,3,6,2,37.6,2.65,7.42,54.89,63.96,18.77,50.12,121.3,0.45,58.75
Chennai,34.5,Male,2,7.0,5.89,4.8,0,1,0,5,2,2,90.1,1.85,4.34,79.78,77.15,17.18,70.51,143.1,0.66,39.46
Surat,32.1,Female,2,9.1,6.75,2.01,1,2,0,4,4,1,43.3,1.4,4.82,70.7,61.52,15.28,51.52,68.6,0.37,46.98
